ID,Título,Enlace,Precio,Detalles,Descripción
106264510,"Piso en avenida Diagonal, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/inmueble/106264510/,4.950.000€,4 hab. | 250 m² | Planta 1ª exterior con ascensor,"Exclusiva propiedad de lujo en venta completamente amueblada y equipada. Cuenta con 250 m² construidos y ofrece un diseño clásico y elegante. Distribuida en una planta baja exterior, dispone de 4 amplias habitaciones, dos de ellas en suite, y 4 baños en total, brindando un espacio cómodo y funcional para toda la familia. La orientación sur garantiza abundante luz natural durante todo el día, creando una atmósfera cálida y acogedora. Construida en 1929, la vivienda se encuentra en excelente estado de conservación
Cada detalle en esta vivienda h"
104803094,"Piso en calle de Balmes, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/inmueble/104803094/,875.000€,3 hab. | 138 m² | Planta 1ª exterior con ascensor,"PISO REFORMADO A ESTRENAR EN BALMES
Ubicado en la calle Balmes, a escasos metros de Avenida Diagonal en una majestuosa finca regia construida por el arquitecto Francesc Mitjans, encontramos este exclusivo apartamento de alto standing de 138m2 con materiales y acabados de primera calidad.
La propiedad, tiene un elegante recibidor con techos abovedados que nos lleva a una cocina en dos espacios; una zona office abierta y un espacio cerrado para cocinar. El salón-comedor es muy luminoso y tranquilo ya que está orientado a patio de manzana.
Disp"
104681481,"Casa o chalet independiente en Sarrià, Barcelona",https://www.idealista.com/inmueble/104681481/,2.420.000€,4 hab. | 305 m²,"Espectacular casa totalmente rehabilitada, ubicada a los pies del parque natural de Collserola, en la parte alta del barrio de Sarrià. Se encuentra cerca del prestigioso colegio internacional Benjamin Franklin y de otros centros educativos privados, y cerca de la Ronda de Dalt, lo que garantiza una perfecta conexión con esta vía de entrada y salida de la ciudad.
La casa tiene 222 m2 construidos interiores y 166 m2 exteriores, repartidos en 3 plantas con elevador interior con capacidad para 4 personas. Dispone de materiales y acabados de la má"
106590078,"Piso en calle de Còrsega, L'Antiga Esquerra de l'Eixample, Barcelona",https://www.idealista.com/inmueble/106590078/,1.100.000€,4 hab. | 181 m² | Planta 4ª exterior con ascensor,"Savills presenta esta magnífica vivienda de 181 m² construidos, más 7 m² adicionales en balcón. Al entrar, un amplio recibidor nos da la bienvenida y organiza el espacio de forma funcional: la zona de día está situada al frente, con vistas a la calle Córcega, mientras que la zona de noche se encuentra en la parte posterior, asegurando un ambiente tranquilo y privado.
La zona de noche cuenta con cuatro habitaciones, dos de ellas son dobles y una habitación individual de generosas dimensiones, y la suite principal, que se distingue por su amplit"
106160761,"Piso en calle de Fontanella, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/106160761/,1.490.000€,3 hab. | 174 m² | Planta 3ª exterior con ascensor,"Savills presenta esta propiedad totalmente reformada, exterior, con acabados de lujo y vistas panorámicas, ubicada en el de Barcelona, en una finca de 1991 totalmente rehabilitada, frente a la emblemática Plaza Urquinaona.
Al acceder a la vivienda, nos encontramos un práctico cuarto de lavandería, un trastero ideal para almacenamiento y un aseo de cortesía perfecto para las visitas.
La zona de día es el punto focal de la propiedad: un amplio espacio diáfano que combina un luminoso salón comedor gracias a sus tres balcones a calle, con una mod"
106348451,"Piso en calle de Muntaner, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/inmueble/106348451/,898.000€,3 hab. | 115 m² | Planta 1ª exterior con ascensor,"Savills presenta este encantador piso en finca clásica completamente reformado situado en calle Muntaner junto a Plaça Adrià.
Es una segunda planta real. La superficie construida es de 115 m², con tres habitaciones y dos baños.
La vivienda se ha rehabilitado integralmente con una distribución y decoración muy acogedora y funcional.
Se compone de salón-comedor con frente a patio interior de manzana que aporta tranquilidad y con amplio ventanal que permite la entrada de mucha luz, cocina abierta, dos amplios dormitorios dobles, una habitación"
106412650,"Piso en calle de Bailèn, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/106412650/,470.000€,2 hab. | 74 m² | Planta 3ª exterior con ascensor,"Savills presenta este elegante piso en venta en situado en el prestigioso barrio Dreta de l'Eixample.
Se encuentra en una finca original de 1900 que se destaca por su arquitectura clásica y detalles históricos que aportan un carácter distintivo y encanto especial a la propiedad.
La propiedad totalmente reformada, consta de 2 habitaciones, un vestidor, salón, cocina-comedor, un baño completo con plato de ducha, y un aseo para invitados.
Cuenta con calefacción por bomba de calor, aire acondicionado, cámaras de seguridad, alarma. Ventanas ba"
105495002,"Piso en avenida Diagonal, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/inmueble/105495002/,730.000€,2 hab. | 82 m² | Planta 1ª exterior con ascensor,"Savills presenta este magnífico piso de 82 metros cuadrados está situado en el próspero y bien ubicado barrio de Sant Gervasi en Barcelona, conocido por su abundancia de hermosos edificios, tiendas exclusivas y establecimientos de alta cocina. Se encuentra en el segundo piso de un edificio clásico bellamente restaurado con un amplio ascensor y una entrada elegante.
El piso es completamente exterior y cuenta con una distribución excelente, que crea varias áreas separadas. El área diurna llena de luz solar es especialmente encantadora e incluye u"
105472252,"Piso en avenida Diagonal, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/inmueble/105472252/,1.270.000€,2 hab. | 116 m² | Planta 1ª exterior con ascensor,"Savills presenta este magnífico piso de 116 metros cuadrados está situado en el próspero y bien ubicado barrio de Sant Gervasi en Barcelona, conocido por su abundancia de hermosos edificios, tiendas exclusivas y establecimientos de alta cocina. Se encuentra en el segundo piso de un edificio clásico bellamente restaurado con un amplio ascensor y una entrada elegante.
El piso es completamente exterior y cuenta con una distribución excelente, que crea varias áreas separadas. El área diurna llena de luz solar es especialmente encantadora e incluye"
105027185,"Piso en calle de Muntaner, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/inmueble/105027185/,1.600.000€,3 hab. | 214 m² | Entreplanta exterior con ascensor,"Savills presenta esta espectacular propiedad en el corazón del exclusivo barrio de Sant Gervasi en Barcelona.
El piso, dotado de 214 metros, posee unos techos de 3 metros de altura; lo que aporta sensación de amplitud y luminosidad.
Cuenta con un total de tres habitaciones de las cuales, una es una amplia suite con tribuna, zona chill out, estudio-despacho; y gran vestidor. Contigua a la suite se encuentra el baño principal de un gusto exquisito con bañera y ducha moderna.
Por otro lado, el piso dispone de un gran salón con acceso a comedor"
